id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
200610120001,The Cheesecake Factory,1000,Ross Park Mall Drive / Suite #LL03,Pittsburgh,PA,15237,Ross,202,Chain Restaurant with Liquor,0,2006-10-12,2006-10-12,248,,0,1,1,-80.008468425933,40.542892812726,1000 Ross Park Mall Drive / Suite #LL03 Pittsburgh PA 15237
200610130001,Grace Manor at North Park,9565,Babcock Boulevard,Allison Park,PA,15101,McCandless,304,Personal Care Boarding Home,1,2006-10-04,2006-10-04,0,38,0,1,1,-80.0071554633069,40.5802336190911,9565 Babcock Boulevard Allison Park PA 15101
200610160001,Super 8 Motel,1807,Golden Mile Hwy,Pittsburgh,PA,15239,Plum,303,Rooming House with Guest food Service,1,2006-09-27,2006-09-27,0,49,0,7,1,-79.7152672388548,40.4466812580673,1807 Golden Mile Hwy Pittsburgh PA 15239
200610160002,Heavenly Catering,1520,Butler Plank Rd,Glenshaw,PA,15116,Shaler,101,Transient Caterer,1,2006-10-11,2006-10-11,0,,630,1,1,-79.9571239132915,40.529139378268,1520 Butler Plank Rd Glenshaw PA 15116
200610180001,Trader Joe's #638,6343,Penn Ave,Pittsburgh,PA,15206,Pittsburgh-111,112,Chain Supermarket,1,2006-10-16,2006-10-16,0,,10600,1,1,-79.9192342043347,40.4591930409335,6343 Penn Ave Pittsburgh PA 15206
200610180003,5801 Video Lounge & Cafe,5801,Ellsworth  Avenue,Pittsburgh,PA,15232,Pittsburgh-107,201,Restaurant with Liquor,1,2006-10-13,2006-10-13,90,,0,1,1,-79.9307702982032,40.4564171406333,5801 Ellsworth  Avenue Pittsburgh PA 15232
200610200002,Subway Sandwiches & Salads #24670,9805,McKnight Rd,Pittsburgh,PA,15237,McCandless,212,Chain Restaurant without Liquor,1,2006-10-05,2006-10-05,48,,0,1,1,-80.036662550413,40.5854154877287,9805 McKnight Rd Pittsburgh PA 15237
200610230002,GNC #8227,100,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,116,Chain Packaged Food Only,2,2006-10-18,2006-10-18,0,,1146,1,1,-80.1571137826096,40.4545405250401,100 Robinson Center Drive Pittsburgh PA 15205
200610230003,GNC #8228,1545,Park Manor Boulevard,Pittsburgh,PA,15205,Robinson,116,Chain Packaged Food Only,2,2006-10-18,2006-10-18,0,,1900,1,1,-80.1645787788215,40.4546284393458,1545 Park Manor Boulevard Pittsburgh PA 15205
200610240001,Heinz Field / Papa Dukes Gyro Express #141/vending#140,500,Art Rooney Avenue,Pittsburgh,PA,15212,Pittsburgh-122,119,Mobile,1,2006-11-01,2006-11-01,0,,1,1,1,,,500 Art Rooney Avenue Pittsburgh PA 15212
200610240003,Heinz Field / Grid Iron Grill Express #421,500,Art Rooney Avenue,Pittsburgh,PA,15212,Pittsburgh-122,119,Mobile,1,2006-11-01,2006-11-01,0,,1,7,1,,,500 Art Rooney Avenue Pittsburgh PA 15212
200610240004,Heinz Field /  Nacho Zone #427,500,Art Rooney Avenue,Pittsburgh,PA,15212,Pittsburgh-122,119,Mobile,1,2006-11-01,2006-11-01,0,,1,1,1,,,500 Art Rooney Avenue Pittsburgh PA 15212
200610240005,Heinz Field / Nacho Zone #418/ Vending Rm#415,500,Art Rooney Avenue,Pittsburgh,PA,15212,Pittsburgh-122,119,Mobile,1,2006-11-01,2006-11-01,0,,1,1,1,,,500 Art Rooney Avenue Pittsburgh PA 15212
200610240006,Heinz Field /Grill Express 123,500,Art Rooney Avenue,Pittsburgh,PA,15212,Pittsburgh-122,119,Mobile,1,2006-11-01,2006-11-01,0,,1,1,1,,,500 Art Rooney Avenue Pittsburgh PA 15212
200610240007,Heinz Field / Franco's Sausage #528,500,Art Rooney Avenue,Pittsburgh,PA,15212,Pittsburgh-122,119,Mobile,1,2006-11-01,2006-11-01,0,,1,1,1,,,500 Art Rooney Avenue Pittsburgh PA 15212
200610240009,Tamarind Flavor Of India,257,Craig Street,Pittsburgh,PA,15213,Pittsburgh-104,211,Restaurant without Liquor,1,2006-10-03,2006-10-03,120,,0,1,1,,,257 Craig Street Pittsburgh PA 15213
200610270004,Jodi B's Restaurant,21,21 Yost Blvd Forest Hills Plaza,Pittsburgh,PA,15221,Forest Hills,201,Restaurant with Liquor,1,2006-11-01,2006-11-01,160,,0,7,1,,,21  21 Yost Blvd Forest Hills Plaza Pittsburgh PA 15221
200611010001,3 Rivers Ice Cream Service Warehouse,24,Frontier  Drive,Gibsonia,PA,15044,West Deer,152,Refrigerated Warehouse,2,2006-10-27,2006-10-27,0,,116000,7,1,-79.9073082900506,40.6137148314827,24 Frontier  Drive Gibsonia PA 15044
200611020002,Grab A Bite #YXP-9003,138,B Unity Center Rd,Pittsburgh,PA,15239,Plum,119,Mobile,1,2006-10-31,2006-10-31,0,,1,7,1,-79.7838145073768,40.4905507898231,138 B Unity Center Rd Pittsburgh PA 15239
200611020003,BJWL After School 2nd Multipurpose Center East Hills,2291,Wilner,Pittsburgh,PA,15221,Pittsburgh-113,403,Child Food Service,1,2006-11-01,2006-11-01,0,,250,1,1,,,2291 Wilner Pittsburgh PA 15221
200611060001,1311,1311,E Carson St,Pittsburgh,PA,15203,Pittsburgh-117,201,Restaurant with Liquor,1,2006-11-03,2006-11-03,30,,0,1,1,-79.9848263901348,40.4289954651282,1311 E Carson St Pittsburgh PA 15203
200611090008,Auberle Group Home Main Campus,1101,Hartman  Street,Mc Keesport,PA,15132,McKeesport,307,Traditional Boarding Home/Fee Exempt,1,2006-11-02,2006-11-02,0,47,0,1,1,-79.8325922232263,40.3490864089096,1101 Hartman  Street Mc Keesport PA 15132
200611140003,Emma's Market & Deli,1580,McLaughlin Run Road,Pittsburgh,PA,15241,Upper St Clair,211,Restaurant without Liquor,1,2006-11-09,2006-11-09,16,,0,1,1,-80.0831633842745,40.3466046500764,1580 McLaughlin Run Road Pittsburgh PA 15241
200611140005,Mr. Smoothie,1000,Ross Park Mall  Drive,Pittsburgh,PA,15237,Ross,212,Chain Restaurant without Liquor,1,2006-11-07,2006-11-07,0,,0,7,1,-80.008468425933,40.542892812726,1000 Ross Park Mall  Drive Pittsburgh PA 15237
200611140008,Bistro #19,711,Washington  Road,Pittsburgh,PA,15228,Mt Lebanon,201,Restaurant with Liquor,1,2006-11-14,2006-11-14,50,,0,1,1,-80.044612080858,40.380115522977,711 Washington  Road Pittsburgh PA 15228
200611170002,Gordon Food Service,3620,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,112,Chain Supermarket,1,2006-11-15,2006-11-15,0,,12000,1,1,-79.7996115341044,40.4320784359189,3620 Wm Penn Hwy Monroeville PA 15146
200611170005,Parkway Tavern,4733,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,201,Restaurant with Liquor,0,2006-11-10,2006-11-10,100,,0,7,1,-79.7300512782706,40.4321518948282,4733 Wm Penn Hwy Monroeville PA 15146
200611170010,Michael's Neighborhood Griddle MFF4,117,Coolsprings Rd,Mc Keesport,PA,15131,White Oak,119,Mobile,1,2006-10-24,2006-10-24,0,,1,1,1,,,117 Coolsprings Rd Mc Keesport PA 15131
200611170013,Community Empowerment Association,7120,Kelly Street,Pittsburgh,PA,15208,Pittsburgh-113,403,Child Food Service,1,2006-11-15,2006-11-15,0,,35,1,1,-79.8981208811838,40.4554949882285,7120 Kelly Street Pittsburgh PA 15208
200611210001,Jernigan's Tobacco Village Scotch and Cigar Bar,1500,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,201,Restaurant with Liquor,1,2006-11-20,2006-11-20,40,,0,7,1,-80.0512874031637,40.3568760237396,1500 Washington Rd Pittsburgh PA 15228
200611210002,QDoba,601,Grant Street,Pittsburgh,PA,15222,Pittsburgh-102,212,Chain Restaurant without Liquor,0,2006-11-09,2006-11-09,34,,0,1,1,-79.9960145088228,40.4410887955249,601 Grant Street Pittsburgh PA 15222
200611210009,Office Max #6075,4080,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,116,Chain Packaged Food Only,2,2006-11-16,2006-11-16,0,,100,1,1,-79.7675197873783,40.4373118230498,4080 Wm Penn Hwy Monroeville PA 15146
200611220001,Ichiban II,1160,Park Manor Boulevard,Pittsburgh,PA,15205,Robinson,202,Chain Restaurant with Liquor,0,2006-11-21,2006-11-21,142,,0,1,1,-80.162454196305,40.4534921186885,1160 Park Manor Boulevard Pittsburgh PA 15205
200611220002,China House,1421,Freeport Road,Natrona Heights,PA,15065,Harrison,211,Restaurant without Liquor,1,2006-11-17,2006-11-17,8,,0,1,1,-79.7313504337775,40.6191691715254,1421 Freeport Road Natrona Heights PA 15065
200611270005,The Pita Pit,2763,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,212,Chain Restaurant without Liquor,1,2006-11-20,2006-11-20,46,,0,1,1,-79.9659134008585,40.4265712934145,2763 E Carson St Pittsburgh PA 15203
200611270006,Gordon Food Service Store,510,Clairton Blvd,Pittsburgh,PA,15236,Pleasant Hills,112,Chain Supermarket,1,2006-11-17,2006-11-17,0,,14997,1,1,-79.9470969897752,40.3338231198288,510 Clairton Blvd Pittsburgh PA 15236
200611270008,Walgreens #9803,324,Hulton Road,Oakmont,PA,15139,Oakmont,114,Chain Retail/Convenience Store,1,2006-11-17,2006-11-17,0,,2000,1,1,-79.841673238603,40.5253044900328,324 Hulton Road Oakmont PA 15139
200612010001,Dee's Delights,3809,Grace St,Homestead,PA,15120,Munhall,117,Bakery,1,2006-11-16,2006-11-16,0,,570,1,1,-79.9045216075474,40.3834193624876,3809 Grace St Homestead PA 15120
